Datum;Erstimpfung;Zweitimpfung;Auffrischimpfung;Gesamtzahl verabreichter Impfstoffdosen;;
27.12.2020;24.344;0;0;24.344;;
28.12.2020;18.045;0;0;18.045;;
29.12.2020;50.073;0;0;50.073;;
30.12.2020;64.079;0;0;64.079;;
31.12.2020;49.913;0;0;49.913;;
01.01.2021;25.549;0;0;25.549;;
02.01.2021;47.981;0;0;47.981;;
03.01.2021;22.544;0;0;22.544;;
04.01.2021;46.081;0;0;46.081;;
05.01.2021;52.611;0;0;52.611;;
06.01.2021;63.027;0;0;63.027;;
07.01.2021;54.779;0;0;54.779;;
08.01.2021;62.705;0;0;62.705;;
09.01.2021;60.575;0;0;60.575;;
10.01.2021;35.871;0;0;35.871;;
11.01.2021;68.225;0;0;68.225;;
12.01.2021;79.074;0;0;79.074;;
13.01.2021;111.958;0;0;111.958;;
14.01.2021;83.904;0;0;83.904;;
15.01.2021;90.859;918;0;91.777;;
16.01.2021;56.836;1.221;0;58.057;;
17.01.2021;30.792;17.010;0;47.802;;
18.01.2021;67.211;15.615;0;82.826;;
19.01.2021;83.296;36.039;0;119.335;;
20.01.2021;78.942;53.748;0;132.690;;
21.01.2021;64.579;40.907;0;105.486;;
22.01.2021;68.741;33.575;0;102.316;;
23.01.2021;40.495;46.520;0;87.015;;
24.01.2021;25.685;22.117;0;47.802;;
25.01.2021;52.276;38.728;0;91.004;;
26.01.2021;50.682;47.725;0;98.407;;
27.01.2021;50.939;58.440;0;109.379;;
28.01.2021;46.817;45.715;0;92.532;;
29.01.2021;49.829;57.862;0;107.691;;
30.01.2021;34.611;53.466;0;88.077;;
31.01.2021;25.759;31.455;0;57.214;;
01.02.2021;58.028;61.899;0;119.927;;
02.02.2021;65.146;67.277;0;132.423;;
03.02.2021;64.378;98.364;0;162.742;;
04.02.2021;61.660;72.493;0;134.153;;
05.02.2021;69.049;78.154;0;147.203;;
06.02.2021;45.532;48.527;0;94.059;;
07.02.2021;28.280;25.275;0;53.555;;
08.02.2021;52.972;56.324;0;109.296;;
09.02.2021;60.189;74.087;0;134.276;;
10.02.2021;77.610;77.666;0;155.276;;
11.02.2021;75.348;68.941;0;144.289;;
12.02.2021;80.038;75.944;0;155.982;;
13.02.2021;62.011;45.808;0;107.819;;
14.02.2021;39.598;25.829;0;65.427;;
15.02.2021;69.936;55.656;0;125.592;;
16.02.2021;78.289;56.449;0;134.738;;
17.02.2021;95.383;56.397;0;151.780;;
18.02.2021;91.472;53.324;0;144.796;;
19.02.2021;103.019;55.922;0;158.941;;
20.02.2021;76.116;36.329;0;112.445;;
21.02.2021;57.660;28.303;0;85.963;;
22.02.2021;98.063;58.165;0;156.228;;
23.02.2021;109.817;60.267;0;170.084;;
24.02.2021;117.502;59.281;0;176.783;;
25.02.2021;130.806;59.090;0;189.896;;
26.02.2021;146.308;67.482;0;213.790;;
27.02.2021;108.240;39.786;0;148.026;;
28.02.2021;79.230;24.186;0;103.416;;
01.03.2021;149.078;49.978;0;199.056;;
02.03.2021;167.533;52.171;0;219.704;;
03.03.2021;177.452;70.696;0;248.148;;
04.03.2021;182.331;63.084;0;245.415;;
05.03.2021;207.942;67.214;0;275.156;;
06.03.2021;154.013;48.725;0;202.738;;
07.03.2021;114.282;33.520;0;147.802;;
08.03.2021;186.269;51.853;0;238.122;;
09.03.2021;197.851;54.940;0;252.791;;
10.03.2021;222.293;67.448;0;289.741;;
11.03.2021;223.974;60.958;0;284.932;;
12.03.2021;256.315;71.099;0;327.414;;
13.03.2021;190.743;50.390;0;241.133;;
14.03.2021;134.647;35.686;0;170.333;;
15.03.2021;189.513;59.303;0;248.816;;
16.03.2021;111.171;68.315;0;179.486;;
17.03.2021;124.648;80.985;0;205.633;;
18.03.2021;118.220;75.524;0;193.744;;
19.03.2021;161.108;84.424;0;245.532;;
20.03.2021;167.337;53.391;0;220.728;;
21.03.2021;126.478;38.314;0;164.792;;
22.03.2021;193.051;76.714;0;269.765;;
23.03.2021;217.158;84.356;0;301.514;;
